Navn;Stasjon;Tid(norsk normaltid);Snødybde
Folgefonna Skisenter;SN49085;02.02.2017;135
Folgefonna Skisenter;SN49085;03.02.2017;131
Folgefonna Skisenter;SN49085;04.02.2017;125
Folgefonna Skisenter;SN49085;05.02.2017;126
Folgefonna Skisenter;SN49085;06.02.2017;93
Folgefonna Skisenter;SN49085;07.02.2017;92
Folgefonna Skisenter;SN49085;08.02.2017;92
Folgefonna Skisenter;SN49085;09.02.2017;92
Folgefonna Skisenter;SN49085;10.02.2017;91
Folgefonna Skisenter;SN49085;11.02.2017;91
Folgefonna Skisenter;SN49085;12.02.2017;91
Folgefonna Skisenter;SN49085;13.02.2017;91
Folgefonna Skisenter;SN49085;14.02.2017;91
Folgefonna Skisenter;SN49085;15.02.2017;91
Folgefonna Skisenter;SN49085;16.02.2017;89
Folgefonna Skisenter;SN49085;17.02.2017;94
Folgefonna Skisenter;SN49085;18.02.2017;95
Folgefonna Skisenter;SN49085;19.02.2017;120
Folgefonna Skisenter;SN49085;20.02.2017;153
Folgefonna Skisenter;SN49085;21.02.2017;195
Folgefonna Skisenter;SN49085;22.02.2017;208
Folgefonna Skisenter;SN49085;23.02.2017;232
Folgefonna Skisenter;SN49085;24.02.2017;227
Folgefonna Skisenter;SN49085;25.02.2017;224
Folgefonna Skisenter;SN49085;26.02.2017;211
Folgefonna Skisenter;SN49085;27.02.2017;198
Folgefonna Skisenter;SN49085;28.02.2017;313
Folgefonna Skisenter;SN49085;01.03.2017;186
Folgefonna Skisenter;SN49085;02.03.2017;185
Folgefonna Skisenter;SN49085;03.03.2017;186
Folgefonna Skisenter;SN49085;04.03.2017;189
Folgefonna Skisenter;SN49085;05.03.2017;158
Folgefonna Skisenter;SN49085;06.03.2017;41
Folgefonna Skisenter;SN49085;07.03.2017;137
Folgefonna Skisenter;SN49085;08.03.2017;136
Folgefonna Skisenter;SN49085;09.03.2017;156
Folgefonna Skisenter;SN49085;10.03.2017;166
Folgefonna Skisenter;SN49085;11.03.2017;165
Folgefonna Skisenter;SN49085;12.03.2017;162
Folgefonna Skisenter;SN49085;13.03.2017;161
Folgefonna Skisenter;SN49085;14.03.2017;171
